"Sie haben folgende Auswahl für die Qualitätsdaten-Abfrage getroffen"
"Messstellentyp: Isotopen"

"Messstellen"
"Anzahl Messstellen: 24"
"Messstellen: IN70000007 Sillian, IN70000008 St. Jakob / Defreggen, IN70000053 Hochfilzen, IN70000056 Kufstein, IN70000057 Pertisau, "
"IN70000058 Achenkirch, IN70000059 Steinberg / Rofan, IN70000060 Hinterriß, IN70000061 Scharnitz, IN70000062 Seefeld / Tirol, "
"IN70000063 Gries / Brenner, IN70000064 Patscherkofel, IN70000065 Innsbruck (Universität), IN70000066 St.Martin / Gnadenwald, "
"IN70000067 Gerlos, IN70000068 Obergurgl, IN70000069 Längenfeld, IN70000070 Haiming, IN70000071 Fernpaß, IN70000072 Reutte, "
"IN70000074 Nauders, IN70000075 St.Anton / Arlberg, IN70000088 Nassereith, IN70000089 Innsbruck / Flughafen"
"Übergebene Messstellen, die in der Detailansicht nicht angezeigt werden sind im untersuchten Zeitraum nicht beprobt worden!"

"Parameter"
"Parameter: I100 Lfd. Nummer, I101 Probenahme-Beginn TT-MM-JJJJ, I102 Probenahme-(Ende) TT-MM-JJJJ, I103 Flaschengewicht g, "
"I104 Niederschlag - Monatssumme (mm), I105 Laborcode - Niederschlag I104, I106 Niederschlag - Art, I107 Lufttemperatur - Monatsmittel (°C), "
"I108 Laborcode - Lufttemperatur I107, I109 potentielle Verdunstung - Monatssumme (mm), I110 Laborcode - pot. Verdunstung I110, "
"I111 Pegelstand cm, I112 Durchfluss m³/s, I114 Delta 18O (? VSMOW), I115 Messgenauigkeit Delta 18O (?), I116 Laborcode - 18O I114, "
"I117 Delta  2H (? VSMOW), I118 Messgenauigkeit Delta 2H (?), I119 Laborcode - Deuterium I117, I120 Tritium - 3H (TE), "
"I121 Messgenauigkeit Tritium 3H, I122 Laborcode - Tritium I120, I123 freies Luftvolumen (ml) bis 2003"

"Zeitraum der Abfrage"
"Januar 1990 bis Dezember 2024"
"Probenzuordnung: GZÜV, Land"

"Definition der Ausgabe"
"Parameter werden in Spalten angezeigt."
"Leere Ergebniszeilen werden gelöscht."
"Zu Messobjekten anzeigen: GZÜV-ID, Name, Gemeinde, Höhe Messpunkt"
"Zu Parametern anzeigen: Parameter Nummer, Vollständige Bezeichnung"
"Format von Dezimalzahlen: Dezimalpunkt (.)"

"Abfrage durchgeführt durch Öffentlicher Benutzer am Mittwoch, 3. Juli 2024 um 13:37"

------------------------------------------------------------------------------------------------------------------------------------------------------

GZÜV-ID;Name;Gemeindename;Höhe Messpunkt;Monat;I100;I101;I102;I103;I104;I105;I106;I107;I108;I109;I110;I111;I112;I114;I115;I116;I117;I118;I119;I120;I121;I122;I123;
"IN70000071";"Fernpaß";"Nassereith";"1210";"Apr 1990";"";"01.04.1990";"30.04.1990";"";"53";"ZAMG";"";"5.4";"ZAMG";"";"";"";"";"-10.19";"";"GSF-München";"-77.9";"";"GSF-München";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Mai 1990";"";"01.05.1990";"31.05.1990";"";"75";"ZAMG";"";"12.5";"ZAMG";"";"";"";"";"-6.81";"";"GSF-München";"-49";"";"GSF-München";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Jun 1990";"";"01.06.1990";"30.06.1990";"";"137";"ZAMG";"";"13.6";"ZAMG";"";"";"";"";"-6.95";"";"GSF-München";"-53";"";"GSF-München";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Jul 1990";"";"01.07.1990";"31.07.1990";"";"110";"ZAMG";"";"16.1";"ZAMG";"";"";"";"";"-7.24";"";"GSF-München";"-56";"";"GSF-München";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Aug 1990";"";"01.08.1990";"31.08.1990";"";"87";"ZAMG";"";"16.3";"ZAMG";"";"";"";"";"-5.75";"";"GSF-München";"-41.4";"";"GSF-München";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Sep 1990";"";"01.09.1990";"30.09.1990";"";"75";"ZAMG";"";"10.8";"ZAMG";"";"";"";"";"-9.19";"";"GSF-München";"-67.4";"";"GSF-München";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Okt 1990";"";"01.10.1990";"31.10.1990";"";"61";"ZAMG";"";"8.6";"ZAMG";"";"";"";"";"-12.8";"";"GSF-München";"-93.1";"";"GSF-München";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Nov 1990";"";"01.11.1990";"30.11.1990";"";"46";"ZAMG";"";"1.7";"ZAMG";"";"";"";"";"-17.44";"";"GSF-München";"-127.2";"";"GSF-München";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Dez 1990";"";"01.12.1990";"31.12.1990";"";"29";"ZAMG";"";"-3.8";"ZAMG";"";"";"";"";"-17.33";"";"GSF-München";"-128.9";"";"GSF-München";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Jan 1991";"";"01.01.1991";"31.01.1991";"";"";"";"";"";"";"";"";"";"";"-14.5";"";"GSF-München";"-108";"";"GSF-München";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Feb 1991";"";"01.02.1991";"28.02.1991";"";"";"";"";"";"";"";"";"";"";"-19.29";"";"GSF-München";"-139";"";"GSF-München";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Mär 1991";"";"01.03.1991";"31.03.1991";"";"";"";"";"";"";"";"";"";"";"-12.11";"";"GSF-München";"-95.7";"";"GSF-München";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Apr 1991";"";"01.04.1991";"30.04.1991";"";"";"";"";"";"";"";"";"";"";"-13.15";"";"GSF-München";"-100.2";"";"GSF-München";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Mai 1991";"";"01.05.1991";"31.05.1991";"";"";"";"";"";"";"";"";"";"";"-11.41";"";"GSF-München";"-88.3";"";"GSF-München";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Jun 1991";"";"01.06.1991";"30.06.1991";"";"";"";"";"";"";"";"";"";"";"-8.16";"";"GSF-München";"-67.6";"";"GSF-München";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Jul 1991";"";"01.07.1991";"31.07.1991";"";"";"";"";"";"";"";"";"";"";"-6.72";"";"GSF-München";"-49.4";"";"GSF-München";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Aug 1991";"";"01.08.1991";"31.08.1991";"";"";"";"";"";"";"";"";"";"";"-5.88";"";"GSF-München";"-39.65";"";"GSF-München";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Sep 1991";"";"01.09.1991";"30.09.1991";"";"";"";"";"";"";"";"";"";"";"-9.91";"";"GSF-München";"-74.1";"";"GSF-München";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Okt 1991";"";"01.10.1991";"31.10.1991";"";"";"";"";"";"";"";"";"";"";"-10.6";"";"GSF-München";"-76.2";"";"GSF-München";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Nov 1991";"";"01.11.1991";"30.11.1991";"";"";"";"";"";"";"";"";"";"";"-17.07";"";"GSF-München";"-125.45";"";"GSF-München";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Dez 1991";"";"01.12.1991";"31.12.1991";"";"";"";"";"";"";"";"";"";"";"-13.3";"";"GSF-München";"-101.45";"";"GSF-München";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Jan 1992";"";"01.01.1992";"31.01.1992";"";"";"";"";"";"";"";"";"";"";"-18.11";"";"GSF-München";"-138.25";"";"GSF-München";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Feb 1992";"";"01.02.1992";"29.02.1992";"";"";"";"";"";"";"";"";"";"";"-18.07";"";"GSF-München";"-139.75";"";"GSF-München";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Mär 1992";"";"01.03.1992";"31.03.1992";"";"";"";"";"";"";"";"";"";"";"-13.84";"";"GSF-München";"-106.1";"";"GSF-München";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Apr 1992";"";"01.04.1992";"30.04.1992";"";"";"";"";"";"";"";"";"";"";"-10.52";"";"GSF-München";"";"";"";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Mai 1992";"";"01.05.1992";"31.05.1992";"";"";"";"";"";"";"";"";"";"";"-6.19";"";"GSF-München";"";"";"";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Jun 1992";"";"01.06.1992";"30.06.1992";"";"";"";"";"";"";"";"";"";"";"-10.75";"";"GSF-München";"-83.2";"";"GSF-München";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Jul 1992";"";"01.07.1992";"31.07.1992";"";"";"";"";"";"";"";"";"";"";"-8.9";"";"GSF-München";"-64.9";"";"GSF-München";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Aug 1992";"";"01.08.1992";"31.08.1992";"";"";"";"";"";"";"";"";"";"";"-5.49";"";"GSF-München";"-37.9";"";"GSF-München";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Sep 1992";"";"01.09.1992";"30.09.1992";"";"";"";"";"";"";"";"";"";"";"-9.15";"";"GSF-München";"-66.3";"";"GSF-München";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Okt 1992";"";"01.10.1992";"31.10.1992";"";"";"";"";"";"";"";"";"";"";"-14.45";"";"GSF-München";"-107.7";"";"GSF-München";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Nov 1992";"";"01.11.1992";"30.11.1992";"";"";"";"";"";"";"";"";"";"";"-15.24";"";"GSF-München";"-115.1";"";"GSF-München";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Dez 1992";"";"01.12.1992";"31.12.1992";"";"";"";"";"";"";"";"";"";"";"-18.56";"";"GSF-München";"";"";"";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Jan 1993";"";"01.01.1993";"31.01.1993";"";"";"";"";"";"";"";"";"";"";"-10.8";"";"GSF-München";"";"";"";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Feb 1993";"";"01.02.1993";"28.02.1993";"";"";"";"";"";"";"";"";"";"";"-15.06";"";"GSF-München";"";"";"";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Mär 1993";"";"01.03.1993";"31.03.1993";"";"";"";"";"";"";"";"";"";"";"-12.95";"";"GSF-München";"";"";"";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Apr 1993";"";"01.04.1993";"30.04.1993";"";"";"";"";"";"";"";"";"";"";"-11.29";"";"GSF-München";"";"";"";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Mai 1993";"";"01.05.1993";"31.05.1993";"";"";"";"";"";"";"";"";"";"";"-7.85";"";"GSF-München";"";"";"";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Jun 1993";"";"01.06.1993";"30.06.1993";"";"";"";"";"";"";"";"";"";"";"-8.02";"";"GSF-München";"";"";"";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Jul 1993";"";"01.07.1993";"31.07.1993";"";"";"";"";"";"";"";"";"";"";"-7.74";"";"GSF-München";"";"";"";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Aug 1993";"";"01.08.1993";"31.08.1993";"";"";"";"";"";"";"";"";"";"";"-6";"";"GSF-München";"";"";"";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Sep 1993";"";"01.09.1993";"30.09.1993";"";"";"";"";"";"";"";"";"";"";"-8.49";"";"GSF-München";"";"";"";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Okt 1993";"";"01.10.1993";"31.10.1993";"";"";"";"";"";"";"";"";"";"";"-15.06";"";"GSF-München";"";"";"";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Nov 1993";"";"01.11.1993";"30.11.1993";"";"";"";"";"";"";"";"";"";"";"-14.68";"";"GSF-München";"";"";"";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Dez 1993";"";"01.12.1993";"31.12.1993";"";"";"";"";"";"";"";"";"";"";"-16.19";"";"GSF-München";"";"";"";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Jan 1994";"";"01.01.1994";"31.01.1994";"";"";"";"";"";"";"";"";"";"";"-12.59";"";"GSF-München";"";"";"";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Feb 1994";"";"01.02.1994";"28.02.1994";"";"";"";"";"";"";"";"";"";"";"-15.38";"";"GSF-München";"";"";"";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Mär 1994";"";"01.03.1994";"31.03.1994";"";"";"";"";"";"";"";"";"";"";"-10.68";"";"GSF-München";"";"";"";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Apr 1994";"";"01.04.1994";"30.04.1994";"";"";"";"";"";"";"";"";"";"";"-19.8";"";"GSF-München";"";"";"";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Mai 1994";"";"01.05.1994";"31.05.1994";"";"";"";"";"";"";"";"";"";"";"-8.26";"";"GSF-München";"";"";"";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Jun 1994";"";"01.06.1994";"30.06.1994";"";"";"";"";"";"";"";"";"";"";"-8.2";"";"GSF-München";"";"";"";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Jul 1994";"";"01.07.1994";"31.07.1994";"";"";"";"";"";"";"";"";"";"";"-3.95";"";"GSF-München";"";"";"";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Aug 1994";"";"01.08.1994";"31.08.1994";"";"";"";"";"";"";"";"";"";"";"-5.81";"";"GSF-München";"";"";"";"";"";"";"";
"IN70000071";"Fernpaß";"Nassereith";"1210";"Sep 1994";"";"01.09.1994";"30.09.1994";"";"";"";"";"";"";"";"";"";"";"-9.9";"";"GSF-München";"";"";"";"";"";"";"";
"IN70000072";"Reutte";"Reutte";"843";"Jan 1990";"";"01.01.1990";"31.01.1990";"";"43";"ZAMG";"";"-3.6";"ZAMG";"";"";"";"";"-13.4";"";"GSF-München";"-97";"";"GSF-München";"13.6";"";"Seibersdorf Research-Arsenal";"0";
"IN70000072";"Reutte";"Reutte";"843";"Feb 1990";"";"01.02.1990";"28.02.1990";"";"170";"ZAMG";"";"2.5";"ZAMG";"";"";"";"";"-10.23";"";"GSF-München";"-74.7";"";"GSF-München";"16.7";"";"Seibersdorf Research-Arsenal";"5";
"IN70000072";"Reutte";"Reutte";"843";"Mär 1990";"";"01.03.1990";"31.03.1990";"";"52";"ZAMG";"";"3.8";"ZAMG";"";"";"";"";"-9.87";"";"GSF-München";"-70.3";"";"GSF-München";"23";"";"Seibersdorf Research-Arsenal";"0";
"IN70000072";"Reutte";"Reutte";"843";"Apr 1990";"";"01.04.1990";"30.04.1990";"";"77";"ZAMG";"";"4.2";"ZAMG";"";"";"";"";"-9.68";"";"GSF-München";"-76.4";"";"GSF-München";"27.7";"";"Seibersdorf Research-Arsenal";"0";
"IN70000072";"Reutte";"Reutte";"843";"Mai 1990";"";"01.05.1990";"31.05.1990";"";"101";"ZAMG";"";"11.2";"ZAMG";"";"";"";"";"-6.36";"";"GSF-München";"-48.9";"";"GSF-München";"28.7";"";"Seibersdorf Research-Arsenal";"5";
"IN70000072";"Reutte";"Reutte";"843";"Jun 1990";"";"01.06.1990";"30.06.1990";"";"168";"ZAMG";"";"12.4";"ZAMG";"";"";"";"";"-9.26";"";"GSF-München";"-64.8";"";"GSF-München";"21.2";"";"Seibersdorf Research-Arsenal";"5";
"IN70000072";"Reutte";"Reutte";"843";"Jul 1990";"";"01.07.1990";"31.07.1990";"";"139";"ZAMG";"";"14.6";"ZAMG";"";"";"";"";"-7.75";"";"GSF-München";"-55";"";"GSF-München";"20.8";"";"Seibersdorf Research-Arsenal";"5";
"IN70000072";"Reutte";"Reutte";"843";"Aug 1990";"";"01.08.1990";"31.08.1990";"";"150";"ZAMG";"";"14.8";"ZAMG";"";"";"";"";"-6.95";"";"GSF-München";"-46.4";"";"GSF-München";"24.9";"";"Seibersdorf Research-Arsenal";"5";
"IN70000072";"Reutte";"Reutte";"843";"Sep 1990";"";"01.09.1990";"30.09.1990";"";"133";"ZAMG";"";"10.1";"ZAMG";"";"";"";"";"-10.16";"";"GSF-München";"-71.6";"";"GSF-München";"15.3";"";"Seibersdorf Research-Arsenal";"5";
"IN70000072";"Reutte";"Reutte";"843";"Okt 1990";"";"01.10.1990";"31.10.1990";"";"115";"ZAMG";"";"8.4";"ZAMG";"";"";"";"";"-12.31";"";"GSF-München";"-89.6";"";"GSF-München";"8.9";"";"Seibersdorf Research-Arsenal";"5";
"IN70000072";"Reutte";"Reutte";"843";"Nov 1990";"";"01.11.1990";"30.11.1990";"";"79";"ZAMG";"";"1.5";"ZAMG";"";"";"";"";"-15.15";"";"GSF-München";"-114.9";"";"GSF-München";"10.7";"";"Seibersdorf Research-Arsenal";"15";
"IN70000072";"Reutte";"Reutte";"843";"Dez 1990";"";"01.12.1990";"31.12.1990";"";"63";"ZAMG";"";"-4";"ZAMG";"";"";"";"";"-14.88";"";"GSF-München";"-103";"";"GSF-München";"12.8";"";"Seibersdorf Research-Arsenal";"5";
"IN70000072";"Reutte";"Reutte";"843";"Jan 1991";"";"01.01.1991";"31.01.1991";"";"47";"ZAMG";"";"";"ZAMG";"";"";"";"";"-13.13";"";"GSF-München";"-95.1";"";"GSF-München";"8.2";"";"Seibersdorf Research-Arsenal";"10";
"IN70000072";"Reutte";"Reutte";"843";"Feb 1991";"";"01.02.1991";"28.02.1991";"";"20";"ZAMG";"";"";"ZAMG";"";"";"";"";"-17.86";"";"GSF-München";"-129";"";"GSF-München";"19.7";"";"Seibersdorf Research-Arsenal";"70";
"IN70000072";"Reutte";"Reutte";"843";"Mär 1991";"";"01.03.1991";"31.03.1991";"";"80";"ZAMG";"";"";"ZAMG";"";"";"";"";"-11.04";"";"GSF-München";"-83.8";"";"GSF-München";"19.9";"";"Seibersdorf Research-Arsenal";"15";
"IN70000072";"Reutte";"Reutte";"843";"Apr 1991";"";"01.04.1991";"30.04.1991";"";"105";"ZAMG";"";"";"ZAMG";"";"";"";"";"-12.1";"";"GSF-München";"-85.5";"";"GSF-München";"21.8";"";"Seibersdorf Research-Arsenal";"15";
"IN70000072";"Reutte";"Reutte";"843";"Mai 1991";"";"01.05.1991";"31.05.1991";"";"182";"ZAMG";"";"";"ZAMG";"";"";"";"";"-11.74";"";"GSF-München";"-83.8";"";"GSF-München";"17";"";"Seibersdorf Research-Arsenal";"5";
"IN70000072";"Reutte";"Reutte";"843";"Jun 1991";"";"01.06.1991";"30.06.1991";"";"172";"ZAMG";"";"";"ZAMG";"";"";"";"";"-8.74";"";"GSF-München";"-62.7";"";"GSF-München";"15.5";"";"Seibersdorf Research-Arsenal";"5";
"IN70000072";"Reutte";"Reutte";"843";"Jul 1991";"";"01.07.1991";"31.07.1991";"";"186";"ZAMG";"";"";"ZAMG";"";"";"";"";"-7.67";"";"GSF-München";"-51.5";"";"GSF-München";"27";"";"Seibersdorf Research-Arsenal";"5";
"IN70000072";"Reutte";"Reutte";"843";"Aug 1991";"";"01.08.1991";"31.08.1991";"";"66";"ZAMG";"";"";"ZAMG";"";"";"";"";"";"";"";"-51.15";"";"GSF-München";"25.9";"";"Seibersdorf Research-Arsenal";"5";
"IN70000072";"Reutte";"Reutte";"843";"Sep 1991";"";"01.09.1991";"30.09.1991";"";"76";"ZAMG";"";"";"ZAMG";"";"";"";"";"";"";"";"-76";"";"GSF-München";"11.4";"";"Seibersdorf Research-Arsenal";"5";
"IN70000072";"Reutte";"Reutte";"843";"Okt 1991";"";"01.10.1991";"31.10.1991";"";"35";"ZAMG";"";"";"ZAMG";"";"";"";"";"";"";"";"-67.9";"";"GSF-München";"11.3";"";"Seibersdorf Research-Arsenal";"15";
"IN70000072";"Reutte";"Reutte";"843";"Nov 1991";"";"01.11.1991";"30.11.1991";"";"73";"ZAMG";"";"";"ZAMG";"";"";"";"";"";"";"";"-138.9";"";"GSF-München";"7.6";"";"Seibersdorf Research-Arsenal";"10";
"IN70000072";"Reutte";"Reutte";"843";"Dez 1991";"";"01.12.1991";"31.12.1991";"";"108";"ZAMG";"";"";"ZAMG";"";"";"";"";"";"";"";"-96.4";"";"GSF-München";"9.8";"";"Seibersdorf Research-Arsenal";"5";
"IN70000072";"Reutte";"Reutte";"843";"Jan 1992";"";"01.01.1992";"31.01.1992";"";"6";"ZAMG";"";"";"ZAMG";"";"";"";"";"";"";"";"-132";"";"GSF-München";"9.7";"";"Seibersdorf Research-Arsenal";"850";
"IN70000072";"Reutte";"Reutte";"843";"Feb 1992";"";"01.02.1992";"29.02.1992";"";"102";"ZAMG";"";"";"ZAMG";"";"";"";"";"-16.46";"";"GSF-München";"";"";"";"13.2";"";"Seibersdorf Research-Arsenal";"5";
"IN70000072";"Reutte";"Reutte";"843";"Mär 1992";"";"01.03.1992";"31.03.1992";"";"190";"ZAMG";"";"";"ZAMG";"";"";"";"";"";"";"";"-105.25";"";"GSF-München";"12.2";"";"Seibersdorf Research-Arsenal";"5";
"IN70000072";"Reutte";"Reutte";"843";"Apr 1992";"";"01.04.1992";"30.04.1992";"";"92";"ZAMG";"";"";"ZAMG";"";"";"";"";"-10.08";"";"GSF-München";"-75.1";"";"GSF-München";"17.1";"";"Seibersdorf Research-Arsenal";"10";
"IN70000072";"Reutte";"Reutte";"843";"Mai 1992";"";"01.05.1992";"31.05.1992";"";"31";"ZAMG";"";"";"ZAMG";"";"";"";"";"-8.34";"";"GSF-München";"-63";"";"GSF-München";"19.8";"";"Seibersdorf Research-Arsenal";"5";
"IN70000072";"Reutte";"Reutte";"843";"Jun 1992";"";"01.06.1992";"30.06.1992";"";"136";"ZAMG";"";"";"ZAMG";"";"";"";"";"";"";"";"-80.7";"";"GSF-München";"23.5";"";"Seibersdorf Research-Arsenal";"5";
"IN70000072";"Reutte";"Reutte";"843";"Jul 1992";"";"01.07.1992";"31.07.1992";"";"156";"ZAMG";"";"";"ZAMG";"";"";"";"";"";"";"";"-79.1";"";"GSF-München";"24.6";"";"Seibersdorf Research-Arsenal";"5";
"IN70000072";"Reutte";"Reutte";"843";"Aug 1992";"";"01.08.1992";"31.08.1992";"";"123";"ZAMG";"";"";"ZAMG";"";"";"";"";"";"";"";"-38";"";"GSF-München";"15.8";"";"Seibersdorf Research-Arsenal";"5";
"IN70000072";"Reutte";"Reutte";"843";"Sep 1992";"";"01.09.1992";"30.09.1992";"";"67";"ZAMG";"";"";"ZAMG";"";"";"";"";"";"";"";"-56.9";"";"GSF-München";"17.2";"";"Seibersdorf Research-Arsenal";"5";
"IN70000072";"Reutte";"Reutte";"843";"Okt 1992";"";"01.10.1992";"31.10.1992";"";"122";"ZAMG";"";"";"ZAMG";"";"";"";"";"";"";"";"-100.05";"";"GSF-München";"14.3";"";"Seibersdorf Research-Arsenal";"5";
"IN70000072";"Reutte";"Reutte";"843";"Nov 1992";"";"01.11.1992";"30.11.1992";"";"190";"ZAMG";"";"";"ZAMG";"";"";"";"";"";"";"";"-103.3";"";"GSF-München";"8.5";"";"Seibersdorf Research-Arsenal";"10";
"IN70000072";"Reutte";"Reutte";"843";"Dez 1992";"";"01.12.1992";"31.12.1992";"";"63";"ZAMG";"";"";"ZAMG";"";"";"";"";"";"";"";"";"";"";"8.8";"";"Seibersdorf Research-Arsenal";"10";
"IN70000072";"Reutte";"Reutte";"843";"Jan 1993";"";"01.01.1993";"31.01.1993";"";"74";"ZAMG";"";"";"ZAMG";"";"";"";"";"-9.86";"";"GSF-München";"";"";"";"9.6";"";"Seibersdorf Research-Arsenal";"15";
"IN70000072";"Reutte";"Reutte";"843";"Feb 1993";"";"01.02.1993";"28.02.1993";"";"48";"ZAMG";"";"";"ZAMG";"";"";"";"";"-13.39";"";"GSF-München";"";"";"";"15.5";"";"Seibersdorf Research-Arsenal";"5";
"IN70000072";"Reutte";"Reutte";"843";"Mär 1993";"";"01.03.1993";"31.03.1993";"";"102";"ZAMG";"";"";"ZAMG";"";"";"";"";"-11.69";"";"GSF-München";"";"";"";"9.4";"";"Seibersdorf Research-Arsenal";"5";
"IN70000072";"Reutte";"Reutte";"843";"Apr 1993";"";"01.04.1993";"30.04.1993";"";"110";"ZAMG";"";"";"ZAMG";"";"";"";"";"-10.55";"";"GSF-München";"";"";"";"22";"";"Seibersdorf Research-Arsenal";"5";
"IN70000072";"Reutte";"Reutte";"843";"Mai 1993";"";"01.05.1993";"31.05.1993";"";"75";"ZAMG";"";"";"ZAMG";"";"";"";"";"-7.98";"";"GSF-München";"";"";"";"28.9";"";"Seibersdorf Research-Arsenal";"5";
"IN70000072";"Reutte";"Reutte";"843";"Jun 1993";"";"01.06.1993";"30.06.1993";"";"179";"ZAMG";"";"";"ZAMG";"";"";"";"";"-7.43";"";"GSF-München";"";"";"";"25.5";"";"Seibersdorf Research-Arsenal";"5";
"IN70000072";"Reutte";"Reutte";"843";"Jul 1993";"";"01.07.1993";"31.07.1993";"";"362";"ZAMG";"";"";"ZAMG";"";"";"";"";"-7.935";"";"GSF-München";"";"";"";"19.4";"";"Seibersdorf Research-Arsenal";"5";
"IN70000072";"Reutte";"Reutte";"843";"Aug 1993";"";"01.08.1993";"31.08.1993";"";"255";"ZAMG";"";"";"ZAMG";"";"";"";"";"-7.215";"";"GSF-München";"";"";"";"18.2";"";"Seibersdorf Research-Arsenal";"5";
"IN70000072";"Reutte";"Reutte";"843";"Sep 1993";"";"01.09.1993";"30.09.1993";"";"155";"ZAMG";"";"";"ZAMG";"";"";"";"";"-10.36";"";"GSF-München";"";"";"";"20.8";"";"Seibersdorf Research-Arsenal";"5";
"IN70000072";"Reutte";"Reutte";"843";"Okt 1993";"";"01.10.1993";"31.10.1993";"";"75";"ZAMG";"";"";"ZAMG";"";"";"";"";"-15.515";"";"GSF-München";"";"";"";"17.3";"";"Seibersdorf Research-Arsenal";"5";
"IN70000072";"Reutte";"Reutte";"843";"Nov 1993";"";"01.11.1993";"30.11.1993";"";"43";"ZAMG";"";"";"ZAMG";"";"";"";"";"-16.57";"";"GSF-München";"";"";"";"13.4";"";"Seibersdorf Research-Arsenal";"5";
"IN70000072";"Reutte";"Reutte";"843";"Dez 1993";"";"01.12.1993";"31.12.1993";"";"131";"ZAMG";"";"";"ZAMG";"";"";"";"";"-14.13";"";"GSF-München";"";"";"";"10.3";"";"Seibersdorf Research-Arsenal";"5";
"IN70000072";"Reutte";"Reutte";"843";"Jan 1994";"";"01.01.1994";"31.01.1994";"";"92";"ZAMG";"";"";"ZAMG";"";"";"";"";"-13.625";"";"GSF-München";"";"";"";"8.6";"";"Seibersdorf Research-Arsenal";"5";
"IN70000072";"Reutte";"Reutte";"843";"Feb 1994";"";"01.02.1994";"28.02.1994";"";"33";"ZAMG";"";"";"ZAMG";"";"";"";"";"-14.95";"";"GSF-München";"";"";"";"13.9";"";"Seibersdorf Research-Arsenal";"5";
"IN70000072";"Reutte";"Reutte";"843";"Mär 1994";"";"01.03.1994";"31.03.1994";"";"104";"ZAMG";"";"";"ZAMG";"";"";"";"";"-10.8";"";"GSF-München";"";"";"";"14";"";"Seibersdorf Research-Arsenal";"5";
